name,pokemonid,formid,formname,gen,release,type1,type2,species,height,weight,gender,catch_rate,base_exp,egg_cycles,friendship,growth_rate,hp,attack,defense,spatk,spdef,speed,ev_hp,ev_attack,ev_defense,ev_spatk,ev_spdef,ev_speed,group
caterpie,caterpie,,,1,red-blue,bug,,Worm,0.3,2.9,4:4,255.0,39.0,15.0,50.0,medium fast,45,30,35,20,20,45,1.0,,,,,,sredniaki
metapod,metapod,,,1,red-blue,bug,,Cocoon,0.7,9.9,4:4,120.0,72.0,15.0,50.0,medium fast,50,20,55,25,25,30,,,2.0,,,,sredniaki
butterfree,butterfree,,,1,red-blue,bug,flying,Butterfly,1.1,32.0,4:4,45.0,178.0,15.0,50.0,medium fast,60,45,50,90,80,70,,,,2.0,1.0,,sredniaki
weedle,weedle,,,1,red-blue,bug,poison,Hairy Bug,0.3,3.2,4:4,255.0,39.0,15.0,50.0,medium fast,40,35,30,20,20,50,,,,,,1.0,sredniaki
kakuna,kakuna,,,1,red-blue,bug,poison,Cocoon,0.6,10.0,4:4,120.0,72.0,15.0,50.0,medium fast,45,25,50,25,25,35,,,2.0,,,,sredniaki
beedrill,beedrill,,,1,red-blue,bug,poison,Poison Bee,1.0,29.5,4:4,45.0,178.0,15.0,50.0,medium fast,65,90,40,45,80,75,,2.0,,,1.0,,sredniaki
beedrill-mega,beedrill,mega,Mega Beedrill,6,omega-ruby-alpha-sapphire,bug,poison,Poison Bee,1.4,40.5,4:4,45.0,223.0,15.0,50.0,medium fast,65,150,40,15,80,145,,2.0,,,1.0,,sredniaki
pidgey,pidgey,,,1,red-blue,normal,flying,Tiny Bird,0.3,1.8,4:4,255.0,50.0,15.0,50.0,medium slow,40,45,40,35,35,56,,,,,,1.0,sredniaki
pidgeotto,pidgeotto,,,1,red-blue,normal,flying,Bird,1.1,30.0,4:4,120.0,122.0,15.0,50.0,medium slow,63,60,55,50,50,71,,,,,,2.0,sredniaki
pidgeot,pidgeot,,,1,red-blue,normal,flying,Bird,1.5,39.5,4:4,45.0,216.0,15.0,50.0,medium slow,83,80,75,70,70,101,,,,,,3.0,sredniaki
pidgeot-mega,pidgeot,mega,Mega Pidgeot,6,omega-ruby-alpha-sapphire,normal,flying,Bird,2.2,50.5,4:4,45.0,261.0,15.0,50.0,medium slow,83,80,80,135,80,121,,,,,,3.0,sredniaki
rattata,rattata,,,1,red-blue,normal,,Mouse,0.3,3.5,4:4,255.0,51.0,15.0,50.0,medium fast,30,56,35,25,35,72,,,,,,1.0,sredniaki
rattata-alolan,rattata,alolan,Alolan Rattata,7,sun-moon,dark,normal,Mouse,0.3,3.8,4:4,255.0,51.0,15.0,50.0,medium fast,30,56,35,25,35,72,,,,,,1.0,agresorzy
raticate,raticate,,,1,red-blue,normal,,Mouse,0.7,18.5,4:4,127.0,145.0,15.0,50.0,medium fast,55,81,60,50,70,97,,,,,,2.0,sredniaki
raticate-alolan,raticate,alolan,Alolan Raticate,7,sun-moon,dark,normal,Mouse,0.7,25.5,4:4,127.0,145.0,15.0,50.0,medium fast,75,71,70,40,80,77,,,,,,2.0,agresorzy
spearow,spearow,,,1,red-blue,normal,flying,Tiny Bird,0.3,2.0,4:4,255.0,52.0,15.0,50.0,medium fast,40,60,30,31,31,70,,,,,,1.0,sredniaki
fearow,fearow,,,1,red-blue,normal,flying,Beak,1.2,38.0,4:4,90.0,155.0,15.0,50.0,medium fast,65,90,65,61,61,100,,,,,,2.0,sredniaki
ekans,ekans,,,1,red-blue,poison,,Snake,2.0,6.9,4:4,255.0,58.0,20.0,50.0,medium fast,35,60,44,40,54,55,,1.0,,,,,sredniaki
arbok,arbok,,,1,red-blue,poison,,Cobra,3.5,65.0,4:4,90.0,157.0,20.0,50.0,medium fast,60,95,69,65,79,80,,2.0,,,,,sredniaki
pikachu,pikachu,,,1,red-blue,electric,,Mouse,0.4,6.0,4:4,190.0,112.0,10.0,50.0,medium fast,35,55,40,50,50,90,,,,,,2.0,specjalni
pikachu-lets-go,pikachu,lets-go,Partner Pikachu,7,lets-go-pikachu-eevee,electric,,Mouse,0.4,6.0,4:4,190.0,112.0,10.0,50.0,medium fast,45,80,50,75,60,120,,,,,,2.0,specjalni
raichu,raichu,,,1,red-blue,electric,,Mouse,0.8,30.0,4:4,75.0,243.0,10.0,50.0,medium fast,60,90,55,90,80,110,,,,,,3.0,specjalni
raichu-alolan,raichu,alolan,Alolan Raichu,7,sun-moon,electric,psychic,Mouse,0.7,21.0,4:4,75.0,243.0,10.0,50.0,medium fast,60,85,50,95,85,110,,,,,,3.0,specjalni
sandshrew,sandshrew,,,1,red-blue,ground,,Mouse,0.6,12.0,4:4,255.0,60.0,20.0,50.0,medium fast,50,75,85,20,30,40,,,1.0,,,,grubole
sandshrew-alolan,sandshrew,alolan,Alolan Sandshrew,7,sun-moon,ice,steel,Mouse,0.7,40.0,4:4,255.0,60.0,20.0,50.0,medium fast,50,75,90,10,35,40,,,1.0,,,,sredniaki
sandslash,sandslash,,,1,red-blue,ground,,Mouse,1.0,29.5,4:4,90.0,158.0,20.0,50.0,medium fast,75,100,110,45,55,65,,,2.0,,,,grubole
sandslash-alolan,sandslash,alolan,Alolan Sandslash,7,sun-moon,ice,steel,Mouse,1.2,55.0,4:4,90.0,158.0,20.0,50.0,medium fast,75,100,120,25,65,65,,,2.0,,,,sredniaki
nidoran-f,nidoran-f,,,1,red-blue,poison,,Poison Pin,0.4,7.0,8:0,235.0,55.0,20.0,50.0,medium slow,55,47,52,40,40,41,1.0,,,,,,sredniaki
nidorina,nidorina,,,1,red-blue,poison,,Poison Pin,0.8,20.0,8:0,120.0,128.0,20.0,50.0,medium slow,70,62,67,55,55,56,2.0,,,,,,sredniaki
nidoqueen,nidoqueen,,,1,red-blue,poison,ground,Drill,1.3,60.0,8:0,45.0,227.0,20.0,50.0,medium slow,90,92,87,75,85,76,3.0,,,,,,sredniaki
nidoran-m,nidoran-m,,,1,red-blue,poison,,Poison Pin,0.5,9.0,0,235.0,55.0,20.0,50.0,medium slow,46,57,40,40,40,50,,1.0,,,,,sredniaki
nidorino,nidorino,,,1,red-blue,poison,,Poison Pin,0.9,19.5,0,120.0,128.0,20.0,50.0,medium slow,61,72,57,55,55,65,,2.0,,,,,sredniaki
nidoking,nidoking,,,1,red-blue,poison,ground,Drill,1.4,62.0,0,45.0,227.0,20.0,50.0,medium slow,81,102,77,85,75,85,,3.0,,,,,sredniaki
clefairy,clefairy,,,1,red-blue,fairy,,Fairy,0.6,7.5,6:2,150.0,113.0,10.0,140.0,fast,70,45,48,60,65,35,2.0,,,,,,specjalni
clefable,clefable,,,1,red-blue,fairy,,Fairy,1.3,40.0,6:2,25.0,217.0,10.0,140.0,fast,95,70,73,95,90,60,3.0,,,,,,specjalni
vulpix,vulpix,,,1,red-blue,fire,,Fox,0.6,9.9,6:2,190.0,60.0,20.0,50.0,medium fast,38,41,40,50,65,65,,,,,,1.0,specjalni
vulpix-alolan,vulpix,alolan,Alolan Vulpix,7,sun-moon,ice,,Fox,0.6,9.9,6:2,190.0,60.0,20.0,50.0,medium fast,38,41,40,50,65,65,,,,,,1.0,sredniaki
ninetales,ninetales,,,1,red-blue,fire,,Fox,1.1,19.9,6:2,75.0,177.0,20.0,50.0,medium fast,73,76,75,81,100,100,,,,,1.0,1.0,specjalni
ninetales-alolan,ninetales,alolan,Alolan Ninetales,7,sun-moon,ice,fairy,Fox,1.1,19.9,6:2,75.0,177.0,20.0,50.0,medium fast,73,67,75,81,100,109,,,,,,2.0,sredniaki
jigglypuff,jigglypuff,,,1,red-blue,normal,fairy,Balloon,0.5,5.5,6:2,170.0,95.0,10.0,50.0,fast,115,45,20,45,25,20,2.0,,,,,,sredniaki
wigglytuff,wigglytuff,,,1,red-blue,normal,fairy,Balloon,1.0,12.0,6:2,50.0,218.0,10.0,50.0,fast,140,70,45,85,50,45,3.0,,,,,,sredniaki
zubat,zubat,,,1,red-blue,poison,flying,Bat,0.8,7.5,4:4,255.0,49.0,15.0,50.0,medium fast,40,45,35,30,40,55,,,,,,1.0,sredniaki
golbat,golbat,,,1,red-blue,poison,flying,Bat,1.6,55.0,4:4,90.0,159.0,15.0,50.0,medium fast,75,80,70,65,75,90,,,,,,2.0,sredniaki
oddish,oddish,,,1,red-blue,grass,poison,Weed,0.5,5.4,4:4,255.0,64.0,20.0,50.0,medium slow,45,50,55,75,65,30,,,,1.0,,,sredniaki
gloom,gloom,,,1,red-blue,grass,poison,Weed,0.8,8.6,4:4,120.0,138.0,20.0,50.0,medium slow,60,65,70,85,75,40,,,,2.0,,,sredniaki
vileplume,vileplume,,,1,red-blue,grass,poison,Flower,1.2,18.6,4:4,45.0,221.0,20.0,50.0,medium slow,75,80,85,110,90,50,,,,3.0,,,sredniaki
paras,paras,,,1,red-blue,bug,grass,Mushroom,0.3,5.4,4:4,190.0,57.0,20.0,50.0,medium fast,35,70,55,45,55,25,,1.0,,,,,sredniaki
parasect,parasect,,,1,red-blue,bug,grass,Mushroom,1.0,29.5,4:4,75.0,142.0,20.0,50.0,medium fast,60,95,80,60,80,30,,2.0,1.0,,,,sredniaki
venonat,venonat,,,1,red-blue,bug,poison,Insect,1.0,30.0,4:4,190.0,61.0,20.0,50.0,medium fast,60,55,50,40,55,45,,,,,1.0,,sredniaki
venomoth,venomoth,,,1,red-blue,bug,poison,Poison Moth,1.5,12.5,4:4,75.0,158.0,20.0,50.0,medium fast,70,65,60,90,75,90,,,,1.0,,1.0,sredniaki
diglett,diglett,,,1,red-blue,ground,,Mole,0.2,0.8,4:4,255.0,53.0,20.0,50.0,medium fast,10,55,25,35,45,95,,,,,,1.0,grubole
diglett-alolan,diglett,alolan,Alolan Diglett,7,sun-moon,ground,steel,Mole,0.2,1.0,4:4,255.0,53.0,20.0,50.0,medium fast,10,55,30,35,45,90,,,,,,1.0,grubole
dugtrio,dugtrio,,,1,red-blue,ground,,Mole,0.7,33.3,4:4,50.0,149.0,20.0,50.0,medium fast,35,100,50,50,70,120,,,,,,2.0,grubole
dugtrio-alolan,dugtrio,alolan,Alolan Dugtrio,7,sun-moon,ground,steel,Mole,0.7,66.6,4:4,50.0,149.0,20.0,50.0,medium fast,35,100,60,50,70,110,,2.0,,,,,grubole
meowth,meowth,,,1,red-blue,normal,,Scratch Cat,0.4,4.2,4:4,255.0,58.0,20.0,50.0,medium fast,40,45,35,40,40,90,,,,,,1.0,sredniaki
meowth-alolan,meowth,alolan,Alolan Meowth,7,sun-moon,dark,,Scratch Cat,0.4,4.2,4:4,255.0,58.0,20.0,50.0,medium fast,40,35,35,50,40,90,,,,,,1.0,agresorzy
meowth-galarian,meowth,galarian,Galarian Meowth,8,sword-shield,steel,,Scratch Cat,0.4,7.5,4:4,255.0,58.0,20.0,50.0,medium fast,50,65,55,40,40,40,,1.0,,,,,grubole
persian,persian,,,1,red-blue,normal,,Classy Cat,1.0,32.0,4:4,90.0,154.0,20.0,50.0,medium fast,65,70,60,65,65,115,,,,,,2.0,sredniaki
persian-alolan,persian,alolan,Alolan Persian,7,sun-moon,dark,,Classy Cat,1.1,33.0,4:4,90.0,154.0,20.0,50.0,medium fast,65,60,60,75,65,115,,,,,,2.0,agresorzy
psyduck,psyduck,,,1,red-blue,water,,Duck,0.8,19.6,4:4,190.0,64.0,20.0,50.0,medium fast,50,52,48,65,50,55,,,,1.0,,,sredniaki
golduck,golduck,,,1,red-blue,water,,Duck,1.7,76.6,4:4,75.0,175.0,20.0,50.0,medium fast,80,82,78,95,80,85,,,,2.0,,,sredniaki
mankey,mankey,,,1,red-blue,fighting,,Pig Monkey,0.5,28.0,4:4,190.0,61.0,20.0,50.0,medium fast,40,80,35,35,45,70,,1.0,,,,,agresorzy
primeape,primeape,,,1,red-blue,fighting,,Pig Monkey,1.0,32.0,4:4,75.0,159.0,20.0,50.0,medium fast,65,105,60,60,70,95,,2.0,,,,,agresorzy
growlithe,growlithe,,,1,red-blue,fire,,Puppy,0.7,19.0,2:6,190.0,70.0,20.0,50.0,slow,55,70,45,70,50,60,,1.0,,,,,specjalni
growlithe-hisuian,growlithe,hisuian,Hisuian Growlithe,8,legends-arceus,fire,rock,Scout,0.8,22.7,2:6,190.0,70.0,20.0,50.0,slow,60,75,45,65,50,55,,1.0,,,,,specjalni
arcanine,arcanine,,,1,red-blue,fire,,Legendary,1.9,155.0,2:6,75.0,194.0,20.0,50.0,slow,90,110,80,100,80,95,,2.0,,,,,specjalni
arcanine-hisuian,arcanine,hisuian,Hisuian Arcanine,8,legends-arceus,fire,rock,Legendary,2.0,168.0,2:6,75.0,194.0,20.0,50.0,slow,95,115,80,95,80,90,,2.0,,,,,specjalni
poliwag,poliwag,,,1,red-blue,water,,Tadpole,0.6,12.4,4:4,255.0,60.0,20.0,50.0,medium slow,40,50,40,40,40,90,,,,,,1.0,sredniaki
poliwhirl,poliwhirl,,,1,red-blue,water,,Tadpole,1.0,20.0,4:4,120.0,135.0,20.0,50.0,medium slow,65,65,65,50,50,90,,,,,,2.0,sredniaki
poliwrath,poliwrath,,,1,red-blue,water,fighting,Tadpole,1.3,54.0,4:4,45.0,230.0,20.0,50.0,medium slow,90,95,95,70,90,70,,,3.0,,,,sredniaki
abra,abra,,,1,red-blue,psychic,,Psi,0.9,19.5,2:6,200.0,62.0,20.0,50.0,medium slow,25,20,15,105,55,90,,,,1.0,,,specjalni
kadabra,kadabra,,,1,red-blue,psychic,,Psi,1.3,56.5,2:6,100.0,140.0,20.0,50.0,medium slow,40,35,30,120,70,105,,,,2.0,,,specjalni
alakazam,alakazam,,,1,red-blue,psychic,,Psi,1.5,48.0,2:6,50.0,225.0,20.0,50.0,medium slow,55,50,45,135,95,120,,,,3.0,,,specjalni
alakazam-mega,alakazam,mega,Mega Alakazam,6,x-y,psychic,,Psi,1.2,48.0,2:6,50.0,270.0,20.0,50.0,medium slow,55,50,65,175,105,150,,,,3.0,,,specjalni
machop,machop,,,1,red-blue,fighting,,Superpower,0.8,19.5,2:6,180.0,61.0,20.0,50.0,medium slow,70,80,50,35,35,35,,1.0,,,,,agresorzy
machoke,machoke,,,1,red-blue,fighting,,Superpower,1.5,70.5,2:6,90.0,142.0,20.0,50.0,medium slow,80,100,70,50,60,45,,2.0,,,,,agresorzy
machamp,machamp,,,1,red-blue,fighting,,Superpower,1.6,130.0,2:6,45.0,227.0,20.0,50.0,medium slow,90,130,80,65,85,55,,3.0,,,,,agresorzy
bellsprout,bellsprout,,,1,red-blue,grass,poison,Flower,0.7,4.0,4:4,255.0,60.0,20.0,50.0,medium slow,50,75,35,70,30,40,,1.0,,,,,sredniaki
weepinbell,weepinbell,,,1,red-blue,grass,poison,Flycatcher,1.0,6.4,4:4,120.0,137.0,20.0,50.0,medium slow,65,90,50,85,45,55,,2.0,,,,,sredniaki
victreebel,victreebel,,,1,red-blue,grass,poison,Flycatcher,1.7,15.5,4:4,45.0,221.0,20.0,50.0,medium slow,80,105,65,100,70,70,,3.0,,,,,sredniaki
tentacool,tentacool,,,1,red-blue,water,poison,Jellyfish,0.9,45.5,4:4,190.0,67.0,20.0,50.0,slow,40,40,35,50,100,70,,,,,1.0,,sredniaki
tentacruel,tentacruel,,,1,red-blue,water,poison,Jellyfish,1.6,55.0,4:4,60.0,180.0,20.0,50.0,slow,80,70,65,80,120,100,,,,,2.0,,sredniaki
geodude,geodude,,,1,red-blue,rock,ground,Rock,0.4,20.0,4:4,255.0,60.0,15.0,50.0,medium slow,40,80,100,30,30,20,,,1.0,,,,grubole
geodude-alolan,geodude,alolan,Alolan Geodude,7,sun-moon,rock,electric,Rock,0.4,20.3,4:4,255.0,60.0,15.0,50.0,medium slow,40,80,100,30,30,20,,,1.0,,,,grubole
graveler,graveler,,,1,red-blue,rock,ground,Rock,1.0,105.0,4:4,120.0,137.0,15.0,50.0,medium slow,55,95,115,45,45,35,,,2.0,,,,grubole
graveler-alolan,graveler,alolan,Alolan Graveler,7,sun-moon,rock,electric,Rock,1.0,110.0,4:4,120.0,137.0,15.0,50.0,medium slow,55,95,115,45,45,35,,,2.0,,,,grubole
golem,golem,,,1,red-blue,rock,ground,Megaton,1.4,300.0,4:4,45.0,223.0,15.0,50.0,medium slow,80,120,130,55,65,45,,,3.0,,,,grubole
golem-alolan,golem,alolan,Alolan Golem,7,sun-moon,rock,electric,Megaton,1.7,316.0,4:4,45.0,223.0,15.0,50.0,medium slow,80,120,130,55,65,45,,,3.0,,,,grubole
ponyta,ponyta,,,1,red-blue,fire,,Fire Horse,1.0,30.0,4:4,190.0,82.0,20.0,50.0,medium fast,50,85,55,65,65,90,,,,,,1.0,specjalni
ponyta-galarian,ponyta,galarian,Galarian Ponyta,8,sword-shield,psychic,,Unique Horn,0.8,24.0,4:4,190.0,82.0,20.0,50.0,medium fast,50,85,55,65,65,90,,,,,,1.0,specjalni
rapidash,rapidash,,,1,red-blue,fire,,Fire Horse,1.7,95.0,4:4,60.0,175.0,20.0,50.0,medium fast,65,100,70,80,80,105,,,,,,2.0,specjalni
rapidash-galarian,rapidash,galarian,Galarian Rapidash,8,sword-shield,psychic,fairy,Unique Horn,1.7,80.0,4:4,60.0,175.0,20.0,50.0,medium fast,65,100,70,80,80,105,,,,,,2.0,specjalni
slowpoke,slowpoke,,,1,red-blue,water,psychic,Dopey,1.2,36.0,4:4,190.0,63.0,20.0,50.0,medium fast,90,65,65,40,40,15,1.0,,,,,,sredniaki
slowpoke-galarian,slowpoke,galarian,Galarian Slowpoke,8,sword-shield,psychic,,Dopey,1.2,36.0,4:4,190.0,63.0,20.0,50.0,medium fast,90,65,65,40,40,15,1.0,,,,,,specjalni
slowbro,slowbro,,,1,red-blue,water,psychic,Hermit Crab,1.6,78.5,4:4,75.0,172.0,20.0,50.0,medium fast,95,75,110,100,80,30,,,2.0,,,,sredniaki
slowbro-mega,slowbro,mega,Mega Slowbro,6,omega-ruby-alpha-sapphire,water,psychic,Hermit Crab,2.0,120.0,4:4,75.0,207.0,20.0,50.0,medium fast,95,75,180,130,80,30,,,2.0,,,,sredniaki
slowbro-galarian,slowbro,galarian,Galarian Slowbro,8,sword-shield,poison,psychic,Hermit Crab,1.6,70.5,4:4,75.0,172.0,20.0,50.0,medium fast,95,100,95,100,70,30,,2.0,,,,,sredniaki
magnemite,magnemite,,,1,red-blue,electric,steel,Magnet,0.3,6.0,genderless,190.0,65.0,20.0,50.0,medium fast,25,35,70,95,55,45,,,,1.0,,,specjalni
magneton,magneton,,,1,red-blue,electric,steel,Magnet,1.0,60.0,genderless,60.0,163.0,20.0,50.0,medium fast,50,60,95,120,70,70,,,,2.0,,,specjalni
farfetchd,farfetchd,,,1,red-blue,normal,flying,Wild Duck,0.8,15.0,4:4,45.0,132.0,20.0,50.0,medium fast,52,90,55,58,62,60,,1.0,,,,,sredniaki
farfetchd-galarian,farfetchd,galarian,Galarian Farfetch'd,8,sword-shield,fighting,,Wild Duck,0.8,42.0,4:4,45.0,132.0,20.0,50.0,medium fast,52,95,55,58,62,55,,1.0,,,,,agresorzy
doduo,doduo,,,1,red-blue,normal,flying,Twin Bird,1.4,39.2,4:4,190.0,62.0,20.0,50.0,medium fast,35,85,45,35,35,75,,1.0,,,,,sredniaki
dodrio,dodrio,,,1,red-blue,normal,flying,Triple Bird,1.8,85.2,4:4,45.0,165.0,20.0,50.0,medium fast,60,110,70,60,60,110,,2.0,,,,,sredniaki
seel,seel,,,1,red-blue,water,,Sea Lion,1.1,90.0,4:4,190.0,65.0,20.0,50.0,medium fast,65,45,55,45,70,45,,,,,1.0,,sredniaki
dewgong,dewgong,,,1,red-blue,water,ice,Sea Lion,1.7,120.0,4:4,75.0,166.0,20.0,50.0,medium fast,90,70,80,70,95,70,,,,,2.0,,sredniaki
grimer,grimer,,,1,red-blue,poison,,Sludge,0.9,30.0,4:4,190.0,65.0,20.0,50.0,medium fast,80,80,50,40,50,25,1.0,,,,,,sredniaki
grimer-alolan,grimer,alolan,Alolan Grimer,7,sun-moon,poison,dark,Sludge,0.7,42.0,4:4,190.0,65.0,20.0,50.0,medium fast,80,80,50,40,50,25,1.0,,,,,,sredniaki
muk,muk,,,1,red-blue,poison,,Sludge,1.2,30.0,4:4,75.0,175.0,20.0,50.0,medium fast,105,105,75,65,100,50,1.0,1.0,,,,,sredniaki
muk-alolan,muk,alolan,Alolan Muk,7,sun-moon,poison,dark,Sludge,1.0,52.0,4:4,75.0,175.0,20.0,50.0,medium fast,105,105,75,65,100,50,1.0,1.0,,,,,sredniaki
shellder,shellder,,,1,red-blue,water,,Bivalve,0.3,4.0,4:4,190.0,61.0,20.0,50.0,slow,30,65,100,45,25,40,,,1.0,,,,sredniaki
cloyster,cloyster,,,1,red-blue,water,ice,Bivalve,1.5,132.5,4:4,60.0,184.0,20.0,50.0,slow,50,95,180,85,45,70,,,2.0,,,,sredniaki
gastly,gastly,,,1,red-blue,ghost,poison,Gas,1.3,0.1,4:4,190.0,62.0,20.0,50.0,medium slow,30,35,30,100,35,80,,,,1.0,,,specjalni
haunter,haunter,,,1,red-blue,ghost,poison,Gas,1.6,0.1,4:4,90.0,142.0,20.0,50.0,medium slow,45,50,45,115,55,95,,,,2.0,,,specjalni
gengar,gengar,,,1,red-blue,ghost,poison,Shadow,1.5,40.5,4:4,45.0,250.0,20.0,50.0,medium slow,60,65,60,130,75,110,,,,3.0,,,specjalni
gengar-mega,gengar,mega,Mega Gengar,6,x-y,ghost,poison,Shadow,1.4,40.5,4:4,45.0,270.0,20.0,50.0,medium slow,60,65,80,170,95,130,,,,3.0,,,specjalni
onix,onix,,,1,red-blue,rock,ground,Rock Snake,8.8,210.0,4:4,45.0,77.0,25.0,50.0,medium fast,35,45,160,30,45,70,,,1.0,,,,grubole
drowzee,drowzee,,,1,red-blue,psychic,,Hypnosis,1.0,32.4,4:4,190.0,66.0,20.0,50.0,medium fast,60,48,45,43,90,42,,,,,1.0,,specjalni
hypno,hypno,,,1,red-blue,psychic,,Hypnosis,1.6,75.6,4:4,75.0,169.0,20.0,50.0,medium fast,85,73,70,73,115,67,,,,,2.0,,specjalni
krabby,krabby,,,1,red-blue,water,,River Crab,0.4,6.5,4:4,225.0,65.0,20.0,50.0,medium fast,30,105,90,25,25,50,,1.0,,,,,sredniaki
kingler,kingler,,,1,red-blue,water,,Pincer,1.3,60.0,4:4,60.0,166.0,20.0,50.0,medium fast,55,130,115,50,50,75,,2.0,,,,,sredniaki
voltorb,voltorb,,,1,red-blue,electric,,Ball,0.5,10.4,genderless,190.0,66.0,20.0,50.0,medium fast,40,30,50,55,55,100,,,,,,1.0,specjalni
voltorb-hisuian,voltorb,hisuian,Hisuian Voltorb,8,legends-arceus,electric,grass,Sphere,0.5,13.0,genderless,190.0,66.0,20.0,50.0,medium fast,40,30,50,55,55,100,,,,,,1.0,specjalni
electrode,electrode,,,1,red-blue,electric,,Ball,1.2,66.6,genderless,60.0,172.0,20.0,50.0,medium fast,60,50,70,80,80,150,,,,,,2.0,specjalni
electrode-hisuian,electrode,hisuian,Hisuian Electrode,8,legends-arceus,electric,grass,Sphere,1.2,71.0,genderless,60.0,172.0,20.0,50.0,medium fast,60,50,70,80,80,150,,,,,,2.0,specjalni
exeggcute,exeggcute,,,1,red-blue,grass,psychic,Egg,0.4,2.5,4:4,90.0,65.0,20.0,50.0,slow,60,40,80,60,45,40,,,1.0,,,,sredniaki
exeggutor,exeggutor,,,1,red-blue,grass,psychic,Coconut,2.0,120.0,4:4,45.0,186.0,20.0,50.0,slow,95,95,85,125,75,55,,,,2.0,,,sredniaki
exeggutor-alolan,exeggutor,alolan,Alolan Exeggutor,7,sun-moon,grass,dragon,Coconut,10.9,415.6,4:4,45.0,186.0,20.0,50.0,slow,95,105,85,125,75,45,,,,2.0,,,sredniaki
cubone,cubone,,,1,red-blue,ground,,Lonely,0.4,6.5,4:4,190.0,64.0,20.0,50.0,medium fast,50,50,95,40,50,35,,,1.0,,,,grubole
marowak,marowak,,,1,red-blue,ground,,Bone Keeper,1.0,45.0,4:4,75.0,149.0,20.0,50.0,medium fast,60,80,110,50,80,45,,,2.0,,,,grubole
marowak-alolan,marowak,alolan,Alolan Marowak,7,sun-moon,fire,ghost,Bone Keeper,1.0,34.0,4:4,75.0,149.0,20.0,50.0,medium fast,60,80,110,50,80,45,,,2.0,,,,specjalni
hitmonlee,hitmonlee,,,1,red-blue,fighting,,Kicking,1.5,49.8,0,45.0,159.0,25.0,50.0,medium fast,50,120,53,35,110,87,,2.0,,,,,agresorzy
hitmonchan,hitmonchan,,,1,red-blue,fighting,,Punching,1.4,50.2,0,45.0,159.0,25.0,50.0,medium fast,50,105,79,35,110,76,,,,,2.0,,agresorzy
lickitung,lickitung,,,1,red-blue,normal,,Licking,1.2,65.5,4:4,45.0,77.0,20.0,50.0,medium fast,90,55,75,60,75,30,2.0,,,,,,sredniaki
koffing,koffing,,,1,red-blue,poison,,Poison Gas,0.6,1.0,4:4,190.0,68.0,20.0,50.0,medium fast,40,65,95,60,45,35,,,1.0,,,,sredniaki
